Magu’s Suspension:  No Sacred Cow In Buhari’s Government -APC https://t.co/qU5y5TD55i via @naijanews,1282680315912138753,100,2020-07-13 14:16:33,dlvr.it,0,2,
@Mediamic22 Lol people shouting let's next election comes as if its God they will vote for to be in power.PDP and A… https://t.co/O776XuCueK,1282680091877703682,140,2020-07-13 14:15:39,Twitter for Android,0,0,
"RT @MrSomtoOkonkwo: 📹He Summarized Everything That Is Wrong With Nigeria🇳🇬 Today.

If Nigeria Is Still Borrowing Money When The Likes Of Ma…",1282679943768530945,140,2020-07-13 14:15:04,Twitter for Android,0,2344,
"RT @MrSomtoOkonkwo: 📹He Summarized Everything That Is Wrong With Nigeria🇳🇬 Today.

If Nigeria Is Still Borrowing Money When The Likes Of Ma…",1282679876814663680,140,2020-07-13 14:14:48,Twitter for Android,0,2344,
"RT @ChigozieKenndy2: He Summarized Everything That Is Wrong With Nigeria🇳🇬 Today.

If Nigeria Is Still Borrowing Money When The Likes Of Ma…",1282679390388838400,140,2020-07-13 14:12:52,Twitter for Android,0,577,
"RT @omayozafashion: #getbaqitoessex 
#delemomodu
#HG2Filmworks
#vanguardnews
#atiku
#Buhari
#davido
Education https://t.co/GFLjjUuq1b",1282679367022387200,133,2020-07-13 14:12:46,Twitter for iPhone,0,1,
"RT @Majik_cian: APC sold you morons an Anti-corruption crusade, look at Buhari’s government drowning in corruption. The man that made so mu…",1282679310227316736,140,2020-07-13 14:12:33,Twitter for iPhone,0,1,
"RT @MOHD_Ks: With meekness of BUHARI &amp; I don't care attitude, Ican't wait for his tenure to end  Those who fought opposition like Oshomole…",1282679240526372865,143,2020-07-13 14:12:16,Twitter for Android,0,8,
"RT @ChiemerieEsiowu: 📹He Summarized Everything That Is Wrong With Nigeria🇳🇬 Today

If Nigeria Is Still Borrowing Money When #Likes Of Magu…",1282679137979834379,139,2020-07-13 14:11:52,Twitter Web App,0,498,
"RT @MrSomtoOkonkwo: 📹He Summarized Everything That Is Wrong With Nigeria🇳🇬 Today.

If Nigeria Is Still Borrowing Money When The Likes Of Ma…",1282678940650344449,140,2020-07-13 14:11:05,Twitter for Android,0,2344,
"RT @MrSomtoOkonkwo: 📹Part 2

While Buhari And His Bunch Of Illiterate Criminal Gang Of APC Are Busy Looting The Country Dry, Other Countrie…",1282678785830088705,140,2020-07-13 14:10:28,Twitter for Android,0,637,
Magu’s Suspension:  No Sacred Cow In Buhari’s Government -APC https://t.co/JscOBnGlj4,1282678544716517377,85,2020-07-13 14:09:30,WordPress.com,0,0,
Magu’s Suspension:  No Sacred Cow In Buhari’s Government -APC https://t.co/8b436uweFv,1282678533161189376,85,2020-07-13 14:09:27,WordPress.com,0,0,
"RT @ChiemerieEsiowu: 📹He Summarized Everything That Is Wrong With Nigeria🇳🇬 Today

If Nigeria Is Still Borrowing Money When #Likes Of Magu…",1282678517868658690,139,2020-07-13 14:09:24,Twitter Web App,0,498,
"RT @MrSomtoOkonkwo: 📹He Summarized Everything That Is Wrong With Nigeria🇳🇬 Today.

If Nigeria Is Still Borrowing Money When The Likes Of Ma…",1282677920545349632,140,2020-07-13 14:07:01,Twitter for Android,0,2344,
